Bank	ROM			RAM			RAM
----	---			---			---
0	HBIOS (IMG)		RAMDISK			RAMDISK
1	ROMLDR+MON+CP/M2+ZSYS	RAMDISK			RAMDISK
2	FTH+BAS+TBAS+PLAY+USR	RAMDISK			RAMDISK
3	RESERVED		RAMDISK			RAMDISK
4	ROMDISK			RAMDISK			RAMDISK
5	ROMDISK			RAMDISK			RAMDISK
6	ROMDISK			RAMDISK			RAMDISK
7	ROMDISK			RAMDISK			RAMDISK
							
8	ROMDISK			BUF (CPM3)		BUF (CPM3)
9	ROMDISK			BUF (CPM3)		BUF (CPM3)
A	ROMDISK			BUF (CPM3)		BUF (CPM3)
B	ROMDISK			BUF (CPM3)		BUF (CPM3)
C	ROMDISK			AUX (CPM3)		TPA (CPM3)
D	ROMDISK			HBIOS (EXEC)		HBIOS (EXEC)
E	ROMDISK			TPA-LO			OS (CPM3)
F	ROMDISK			COMMON (TPA-HI)		COMMON (TPA-HI)
