"TASM 8096 Assembler."
/****************************************************************************
/* $Id: tasm96.tab 1.5 1997/09/28 22:14:30 toma Exp $
/****************************************************************************
;* This is the instruction set definition table
;*   for the 8096 version of TASM.
;*      Thomas N. Anderson, Speech Technology Incorporated
;*
;*  See TASM manual for info on table structure.
;*
;*INSTR ARGS OPCODE BYTES MOD CLASS SHIFT MASK
;*-------------------------------------------*
; Revisions:
;   Added I7 rule for single arg direct/far (PUSH/POP)
;   Changed ADDB *,*,*[*] entry from rule I1 to I6.
;
; Generate opcodes high byte first/
.MSFIRST
.NOARGSHIFT
;
; Note:
;	The I1 rule uses ARGVAL for arg validation.  If the combined
;	args AND ARGVAL is not equal to the combined args then an
;	error message is generated.
;
;	The I1 rule also uses ARGOR.  The value of that mask is OR'd
;	with the first byte of the args.
;
;		            	     ARGOR
;       		  BYTES	CLASS |
;                   | 	   |  |	
;INST  ARGS    OP   v RULE v  v ARGVAL
;-----------------------------------------;
;OK ADD
ADD  *,*,[*]+  46   4 I1   1 01 00FeFeFe  ;
ADD  *,*,[*]   46   4 I1   1 00 00FeFeFe  ;
ADD  *,*,*[*]  47   6 I6   1 00 00FeFeFe  ;
ADD  *,*,#*    45   5 I1   1 00 FeFeFFFF  ;
ADD  *,[*]+    66   3 I1   1 01 0000FFFe  ; 1st arg must be even, make odd
ADD  *,[*]     66   3 I1   1 00 0000FFFe  ; 1st arg must be even
ADD  *,*[*]    67   5 I6   1 00 00FFFFFF  ; 
ADD  *,*,*     4701 6 I3   1 00 0000FeFe  ; 3rd arg may be far
ADD  *,#*      65   4 I1   1 00 00FeFFFF  ; 1st arg must be even
ADD  *,*       6701 5 I2   1 00 0000FeFe  ; 2nd arg may be far

;OK ADDB
ADDB *,*,[*]+  56   4 I1   1 01 00000000  ; no validation yet
ADDB *,*,[*]   56   4 I1   1 00 00000000  ; no validation yet
ADDB *,*,*[*]  57   6 I6   1 00 00000000  ; no validation yet
ADDB *,*,#*    55   4 I1   1 00 00000000  ; no validation yet
ADDB *,[*]+    76   3 I1   1 01 0000FFFe  ; 1st arg must be even, make odd
ADDB *,[*]     76   3 I1   1 00 0000FFFe  ; 1st arg must be even
ADDB *,*[*]    77   5 I6   1 00 00FeFFFe  ; 1st,3rd must be even
