"TASM 6805 Assembler.    "
/***************************************************************************
/* $Id
/***************************************************************************
/* This is the instruction set definition table for the 6805 version of TASM.
/*      Thomas N. Anderson, Speech Technology Incorported, April 1988.
/* 
/*INSTR ARGS OPCODE BYTES MOD CLASS SHIFT OR */
/*-------------------------------------------*/

ADC  #*  A9 2 NOP   1         
ADC  ,X  F9 1 NOP   1           
ADC  *,X D9 3 MZERO 1        
ADC  *   C9 3 MZERO 1          

ADD  #*  AB 2 NOP   1         
ADD  ,X  FB 1 NOP   1              
ADD  *,X DB 3 MZERO 1        
ADD  *   CB 3 MZERO 1          

AND  #*  A4 2 NOP   1         
AND  ,X  F4 1 NOP   1              
AND  *,X D4 3 MZERO 1        
AND  *   C4 3 MZERO 1          

ASLA ""  48 1 NOP   1       
ASLX ""  58 1 NOP   1       
ASL  ,X  78 1 NOP   1              
ASL  *,X 68 2 NOP   1              
ASL  *   38 2 NOP   1

ASRA ""  47 1 NOP   1       
ASRX ""  57 1 NOP   1       
ASR  ,X  77 1 NOP   1              
ASR  *,X 67 2 NOP   1              
ASR  *   37 2 NOP   1

BCC  *   24 2 R1    1           
BCLR *,* 11 2 MBIT  1
BCS  *   25 2 R1    1           
BEQ  *   27 2 R1    1           
BHCC *   28 2 R1    1           
BHCS *   29 2 R1    1           
BHI  *   22 2 R1    1
BHS  *   24 2 R1    1           
BIH  *   2F 2 R1    1           
BIL  *   2E 2 R1    1           

BIT  #*  A5 2 NOP   1         
BIT  ,X  F5 1 NOP   1              
BIT  *,X D5 3 MZERO 1        
BIT  *   C5 3 MZERO 1          

BLO  *   25 2 R1    1           
BLS  *   23 2 R1    1           
BMC  *   2C 2 R1    1           
BMI  *   2B 2 R1    1           
BMS  *   2D 2 R1    1           
BNE  *   26 2 R1    1           
BPL  *   2A 2 R1    1           
BRA  *   20 2 R1    1           

BRCLR *,*,* 01 3 MBIT 1
BRN  *   21 2 R1    1           
BRSET *,*,* 00 3 MBIT 1 
BSET *,* 10 2 MBIT  1    
BSR  *   AD 2 R1    1           

CLC  ""  98 1 NOP   1     
CLI  ""  9A 1 NOP   1     

CLRA ""  4F 1 NOP   1       
CLRX ""  5F 1 NOP   1       
CLR  ,X  7F 1 NOP   1              
CLR  *,X 6F 2 NOP   1              
CLR  *   3F 2 NOP   1

CMP  #*  A1 2 NOP   1         
CMP  ,X  F1 1 NOP   1              
CMP  *,X D1 3 MZERO 1        
CMP  *   C1 3 MZERO 1          

CMPX #*  A3 2 NOP   1         /* equivalent to CPX */
CMPX ,X  F3 1 NOP   1              
CMPX *,X D3 3 MZERO 1        
CMPX *   C3 3 MZERO 1          

COMA ""  43 1 NOP   1       
COMX ""  53 1 NOP   1       
COM  ,X  73 1 NOP   1              
COM  *,X 63 2 NOP   1               
COM  *   33 2 NOP   1

CPX  #*  A3 2 NOP   1         
CPX  ,X  F3 1 NOP   1              
CPX  *,X D3 3 MZERO 1        
CPX  *   C3 3 MZERO 1          

DECA ""  4A 1 NOP   1       
DECX ""  5A 1 NOP   1       
DEX  ""  5A 1 NOP   1       
DEC  ,X  7A 1 NOP   1              
DEC  *,X 6A 2 NOP   1              
DEC  *   3A 2 NOP   1

EOR  #*  A8 2 NOP   1         
EOR  ,X  F8 1 NOP   1              
EOR  *,X D8 3 MZERO 1        
EOR  *   C8 3 MZERO 1          

INCA ""  4C 1 NOP   1       
